Organisation;Adresse;PLZ;Ort;Telefon;Telefax;E-Mail;Internetadresse
Gefechtssimulationszentrum Heer;Rhön-Kaserne ;97772;Wildflecken;+49 9745 34-5010;+49 9745 34-5019;gefsimzhs1@bundeswehr.org;https://www.deutschesheer.de/portal/poc/heer?uri=ci%3Abw.heer.dienstst.ausbkdo.ausbeinrichtungen.gefechtsimz
Gefechtsübungszentrum Heer;Salchauer Chaussee 1;39638;Gardelegen;+49 39088-90-3010;+49 39088-90-3050;GefUebZHZentralerPosteingang@Bundeswehr.org;https://www.deutschesheer.de/portal/poc/heer?uri=ci%3Abw.heer.dienstst.ausbkdo.ausbeinrichtungen.gefechtsuebz
Generalarzt der Luftwaffe;Flughafenstraße 1;51147;Köln;+49 2203 908-6870;+49 2203 908-677 6871;zentrlurmedlwpresse@bundeswehr.org;https://www.bundeswehr.de/de/organisation/luftwaffe/organisation-/luftwaffentruppenkommando/zentrum-fuer-luft-und-raumfahrtmedizin
Generalbundesanwalt beim Bundesgerichtshof;Brauerstraße 30;76135;Karlsruhe;+49 721 8191-0;+49 721 8191-8590;poststelle@generalbundesanwalt.de;https://www.generalbundesanwalt.de/DE/Home/home_node.html
Generaldirektion Wasserstraßen und Schifffahrt;Am Propsthof 51;53121;Bonn;+49 228 70-900;+49 228 70-909010;gdws@wsv.bund.de;https://www.gdws.wsv.bund.de/DE/startseite/startseite_node.html
Generalzolldirektion;Václav-Havel-Platz 6;53121;Bonn;+49 228 303-0;;poststelle.gzd@zoll.bund.de;https://www.zoll.de/DE/Der-Zoll/Struktur-des-Zolls/Generalzolldirektion/generalzolldirektion_node.html
German Institute of Development and Sustainability;Tulpenfeld 6;53113;Bonn;+49 228 94927-0;+49 228 94927-130;idos@idos-research.de;https://www.idos-research.de
German Institute of Global and Area Studies;Neuer Jungfernstieg 21;20354;Hamburg;+49 40 42825-593;+49 40 42825-547;info@giga-hamburg.de;https://www.giga-hamburg.de
Germanisches Nationalmuseum;Kartäusergasse 1;90402;Nürnberg;+49 911 1331-0;+49 911 1331-200;info@gnm.de;
Germany Trade and Invest - Gesellschaft für Außenwirtschaft und Standortmarketing mbH;Friedrichstraße 60;10117;Berlin;+49 30 200099-0;;info@gtai.com;https://www.gtai.de/de/trade
Gesellschaft für Anlagen und Reaktorsicherheit (gGmbH);Schwertnergasse 1;50667;Köln;+49 221 2068-0;+49 221 2068-856;info@grs.de;https://www.grs.de/
Gesellschaft für Sicherheitspolitik e. V.;Wenzelgasse 42;53111;Bonn;+49 228 652556;+49 228 658093;praesident@gsp-sipo.de;https://www.gsp-sipo.de/
Gesellschaft für Versicherungswissenschaft und -gestaltung e. V.;Reinhardtstraße 34;10117;Berlin;+49 30 2408 825-10;;info@gvg.org;https://gvg.org/
GESIS - Leibniz-Institut für Sozialwissenschaften;B6 4-5 ;68159;Mannheim;+49 621 1246-0;+49 621 1246-100;gesis@gesis.org;https://www.gesis.org/home
GFZ Helmholtz-Zentrum für Geoforschung;Telegrafenberg ;14473;Potsdam;+49 331 6264-0;;info@gfz.de;https://www.gfz.de
gkv informatik eGbR;Luisenstraße 64;42103;Wuppertal;+49 202 6958-0;+49 202 6958-1109;info@gkvi.de;https://www.gkvi.de/
Goethe-Institut e. V.;Oskar-von-Miller-Ring 18;80333;München;+49 89 15921-0;+49 89 15921-450;info@goethe.de;https://www.goethe.de/de/index.html
GSI Helmholtzzentrum für Schwerionenforschung GmbH;Planckstraße 1;64291;Darmstadt;+49 6159 71-0;+49 6159 71-2785;info@gsi.de;https://www.gsi.de/start/aktuelles
Hanns-Seidel-Stiftung e. V.;Lazarettstraße 33;80636;München;+49 89 1258-0;+49 89 1258-356;info@hss.de;https://www.hss.de/
Hans-Böckler-Stiftung;Georg-Block-Straße 18;40474;Düsseldorf;+49 211 7778-0;+49 211 7778-120;zentrale@boeckler.de;https://www.boeckler.de/de/index.htm
Hauptzollamt Aachen;Eisenbahnweg 18;52068;Aachen;+49 241 9091-0;+49 241 9091-1500;poststelle.hza-aachen@zoll.bund.de;https://www.zoll.de
Hauptzollamt Augsburg;Prinzregentenplatz 3;86150;Augsburg;+49 821 5012-0;+49 228 303-98150;poststelle.hza-augsburg@zoll.bund.de;https://www.zoll.de
Hauptzollamt Berlin;Mehringdamm 129c;10965;Berlin;+49 30 69009-0;+49 30 69009-6209;poststelle.hza-berlin@zoll.bund.de;https://www.zoll.de
Hauptzollamt Bielefeld;Werner-Bock-Straße 25 - 29;33602;Bielefeld;+49 521 3047-0;+49 521 3047-1099;poststelle.hza-bielefeld@zoll.bund.de;https://www.zoll.de
Hauptzollamt Braunschweig;Kasernenstraße 17;38106;Braunschweig;+49 531 1291-0;+49 531 1291-9102;poststelle.hza-braunschweig@zoll.bund.de;https://www.zoll.de
Hauptzollamt Bremen;Konsul-Smidt-Straße 29;28217;Bremen;+49 421-5154-0;+49 421 5154-1001;poststelle.hza-bremen@zoll.bund.de;https://www.zoll.de
Hauptzollamt Darmstadt;Hilpertstraße 20 a;64295;Darmstadt;+49 6151 9180-0;+49 228 303-97489;poststelle.hza-darmstadt@zoll.bund.de;https://www.zoll.de
Hauptzollamt Dortmund;Semerteichstraße 47 - 49;44141;Dortmund;+49 231 9571-0;+49 231 9571-1999;poststelle.hza-dortmund@zoll.bund.de;https://www.zoll.de
Hauptzollamt Dresden;Schützenhöhe 24 - 26;01099;Dresden;+49 351 4644-0;+49 351 4644-3900;poststelle.hza-dresden@zoll.bund.de;https://www.zoll.de
Hauptzollamt Duisburg;Köhnenstaße 5 - 11;47051;Duisburg;+49 203 6048-1000;+49 228 30399-774;poststelle.hza-duisburg@zoll.bund.de;https://www.zoll.de
Hauptzollamt Düsseldorf;Wanheimer Straße 74;40468;Düsseldorf;+49 211 2101-0;+49 211 2101-1222;poststelle.hza-duesseldorf@zoll.bund.de;https://www.zoll.de
Hauptzollamt Erfurt;Am Tannenwäldchen 50;99096;Erfurt;+49 361 60176-0;+49 361 60176-910;poststelle.hza-erfurt@zoll.bund.de;https://www.zoll.de
Hauptzollamt Frankfurt (Oder);Kopernikusstraße 25;15236;Frankfurt (Oder);+49 335 563-0;+49 228 303 98 268;poststelle.hza-ff@zoll.bund.de;https://www.zoll.de
Hauptzollamt Frankfurt am Main;Hahnstraße 68 - 70;60528;Frankfurt am Main;+49 69 257829-0;+49 228 303-97714;poststelle.hza-ffm@zoll.bund.de;https://www.zoll.de
Hauptzollamt Gießen;Grünberger Straße 100;35394;Gießen;+49 641 4959-0;+49 641 4959-1199;poststelle.hza-giessen@zoll.bund.de;https://www.zoll.de
Hauptzollamt Hamburg;Koreastraße 4;20457;Hamburg;+49 40 80003-0;+49 228 303-97312;poststelle.hza-hamburg@zoll.bund.de;https://www.zoll.de
Hauptzollamt Hannover;Hackethalstraße 7;30179;Hannover;+49 511 5469-0;;poststelle.hza-hannover@zoll.bund.de;https://www.zoll.de
Hauptzollamt Heilbronn;Kastellstraße 53;74080;Heilbronn;+49 7131 8970-0;+49 7131 8970-199;poststelle.hza-heilbronn@zoll.bund.de;https://www.zoll.de
Hauptzollamt Itzehoe;Kaiserstraße 14 a;25524;Itzehoe;+49 4821 902-0;+49 4821 902-1001;Poststelle.hza-itzehoe@zoll.bund.de;https://www.zoll.de
Hauptzollamt Karlsruhe;Philipp-Reis-Straße 4;76137;Karlsruhe;+49 721 1833-1;+49 721 1833-1010;poststelle.hza-karlsruhe@zoll.bund.de;https://www.zoll.de
Hauptzollamt Kiel;Kronshagener Weg 105;24116;Kiel;+49 431 20083-0;+49 431 20083-1150;poststelle.hza-kiel@zoll.bund.de;https://www.zoll.de
Hauptzollamt Koblenz;Im Metternicher Feld 44;56072;Koblenz;+49 261 98376-0;+49 261 98376-1010;poststelle.hza-koblenz@zoll.bund.de;https://www.zoll.de
Hauptzollamt Köln;Grüner Weg 1 b;50825;Köln;+49 221 9413-0;;poststelle.hza-koeln@zoll.bund.de;https://www.zoll.de
Hauptzollamt Krefeld;Medienstraße 1;47807;Krefeld;+49 2151 850-0;+49 2151 850-18881;poststelle.hza-krefeld@zoll.bund.de;https://www.zoll.de
Hauptzollamt Landshut;Sonnenring 14;84032;Altdorf;+49 871 806-0;+49 871 806-1065;poststelle.hza-landshut@zoll.bund.de;https://www.zoll.de
Hauptzollamt Lörrach;Mozartstraße 32;79539;Lörrach;+49 7621 941-0;+49 7621 941-1505;poststelle.hza-loerrach@zoll.bund.de;https://www.zoll.de
Hauptzollamt Magdeburg;Ihleburger Straße 4;39126;Magdeburg;+49 391 5074-0;+49 391 5074-1237;poststelle.hza-magdeburg@zoll.bund.de;https://www.zoll.de
Hauptzollamt München;Sophienstraße 6;80333;München;+49 89 45026-0;+49 228 303-99806;poststelle.hza-muenchen@zoll.bund.de;https://www.zoll.de
Hauptzollamt Münster;Linus-Pauling-Weg 1 - 5;48155;Münster;+49 251 4814-0;+49 251 4814-1000;poststelle.hza-muenster@zoll.bund.de;https://www.zoll.de
Hauptzollamt Nürnberg;Frankenstraße 208;90461;Nürnberg;+49 911 9463-0;+49 911 9463-1199;poststelle.hza-nuernberg@zoll.bund.de;https://www.zoll.de
Hauptzollamt Oldenburg;Friedrich-Rüder-Straße 2;26135;Oldenburg;+49 441 8009-0;+49 228 303-99788;poststelle.hza-oldenburg@zoll.bund.de;https://www.zoll.de
Hauptzollamt Osnabrück;Meller Straße 272;49082;Osnabrück;+49 541 3301-0;+49 541 3301-1200;poststelle.hza-osnabrueck@zoll.bund.de;https://www.zoll.de
Hauptzollamt Potsdam;Rembrandtstraße 26 A;14467;Potsdam;+49 331 50590;+49 331 2308-109;poststelle.hza-potsdam@zoll.bund.de;https://www.zoll.de
Hauptzollamt Regensburg;Junkersstraße 12;93055;Regensburg;+49 941 2086-0;+49 941 2086-1399;poststelle.hza-regensburg@zollbund.de;https://www.zoll.de
Hauptzollamt Rosenheim;Münchener Straße 51;83022;Rosenheim;+49 8031 3006-0;+49 8031 3006-9911;poststelle.hza-rosenheim@zoll.bund.de;https://www.zoll.de
Hauptzollamt Saarbrücken;Präsident-Baltz-Straße 5;66119;Saarbrücken;+49 681 8308-0000;+49 681 8308-0010;poststelle.hza-saarbruecken@zoll.bund.de;https://www.zoll.de
Hauptzollamt Schweinfurt;Brückenstraße 27;97421;Schweinfurt;+49 9721 6464-0;+49 9721 6464-1800;poststelle.hza-schweinfurt@zoll.bund.de;https://www.zoll.de
Hauptzollamt Singen;Maggistraße 3;78224;Singen;+49 7731 8205-0;+49 7731 8205-1901;poststelle.hza-singen@zoll.bund.de;https://www.zoll.de
Hauptzollamt Stralsund;Hiddenseer Straße 2;18439;Stralsund;+49 3831 356-0;+49 3831 356-1121;poststelle.hza-stralsund@zoll.bund.de;https://www.zoll.de
Hauptzollamt Stuttgart;Hackstraße 85;70190;Stuttgart;+49 711 922-0;+49 711 922-2209;poststelle.hza-stuttgart@zoll.bund.de;https://www.zoll.de
Hauptzollamt Ulm;Magirusstraße 39 / 2;89077;Ulm;+49 731 9648-0;+49 731 9648-29900;poststelle.hza-ulm@zoll.bund.de;https://www.zoll.de
Haus der Wannsee-Konferenz - Gedenk- und Bildungstätte -;Am Großen Wannsee 56-58;14109;Berlin;+49 30805001-0;;info@ghwk.de;https://www.ghwk.de/
Havariekommando;Am Alten Hafen 2;27472;Cuxhaven;+49 30 185420-2400;+49 30 185420-2009;havariekommando@havariekommando.de;https://www.havariekommando.de
Heinrich-Böll-Stiftung e. V.;Rosenthaler Straße 40 - 41;10178;Berlin;+49 30 28534-0;+49 30 28534-109;info@boell.de;https://www.boell.de
Helmholtz Zentrum München Deutsches Forschungszentrum für Gesundheit und Umwelt GmbH;Ingolstädter Landstraße 1;85764;Neuherberg;+49 89 3187-0;;info@helmholtz-munich.de;https://www.helmholtz-muenchen.de/
Helmholtz-Gemeinschaft;Ahrstraße 45;53175;Bonn;+49 228 30818-0;+49 228 30818-30;info@helmholtz.de;https://www.helmholtz.de
Helmholtz-Zentrum Berlin für Materialien und Energie GmbH;Hahn-Meitner-Platz 1;14109;Berlin;+49 30 8062-0;+49 30 8062-42181;email-hzb-inbox@helmholtz-berlin.de;https://www.helmholtz-berlin.de/
Helmholtz-Zentrum Dresden-Rossendorf e. V.;Bautzener Landstraße 400;01328;Dresden;+49 351 260-0;+49 351 269-0461;kontakt@hzdr.de;https://www.hzdr.de
Helmholtz-Zentrum für Infektionsforschung GmbH;Inhoffenstraße 7;38124;Braunschweig;+49 531 6181-0;+49 531 6181-2655;info@helmholtz-hzi.de;https://www.helmholtz-hzi.de
Helmholtz-Zentrum für Ozeanforschung Kiel;Wischhofstraße 1-3;24148;Kiel;+49 431 600-0;+49 431 600-2805;info@geomar.de;https://www.geomar.de
Helmholtz-Zentrum für Umweltforschung GmbH - UFZ;Permoser Straße 15;04318;Leipzig;+49 341 235-1800;+49 341 235-1388;info@ufz.de;https://www.ufz.de
Helmholtz-Zentrum Hereon GmbH;Max-Planck-Straße 1;21502;Geesthacht;+49 4152 87-0;+49 4152 87-1403;contact@hereon.de;https://www.hzg.de
Helmut-Schmidt-Universität Universität der Bundeswehr Hamburg;Holstenhofweg 85;22043;Hamburg;+49 40 6541-1;+49 40 6541-2869;pressestelle@hsu-hh.de;https://www.hsu-hh.de/hsu/index.php
Herder Institut für historische Ostmitteleuropaforschung - Institut der Leibniz-Gemeinschaft;Gisonenweg 5 - 7;35037;Marburg;+49 6421 184-0;;mail@herder-institut.de;https://www.herder-institut.de
Hochschule des Bundes für öffentliche Verwaltung;Willy-Brandt-Straße 1;50321;Brühl;+49 22899 629-0;+49 22899 629-5100;postzb@hsbund.de;https://www.hsbund.de
Hochschule des Bundes für öffentliche Verwaltung - Fachbereich Bundeswehrverwaltung;Seckenheimer Landstraße 10;68163;Mannheim;+49 621 4295 4212;+49 621 4295 4222;HSBund-FBBWV@bundeswehr.org;https://hsbund.de/studium/studiengaenge/bachelor-of-public-administration
I. Deutsch-Niederländisches Corps;Schlossplatz 15;48143;Münster;+49 251 506-2092;+49 251 452-70;DtAI.DEU-NLDCorpsPAO@bundeswehr.org;https://www.bundeswehr.de/de/organisation/heer/organisation/1-deutsch-niederlaendisches-corps
ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e. V.;Poschingerstraße 5;81679;München;+49 89 9224-0;+49 89 985369;ifo@ifo.de;https://www.ifo.de/
IHP GmbH - Leibniz-Institut für innovative Mikroelektronik;Im Technologiepark 25;15236;Frankfurt (Oder);+49 335 5625-0;+49 335 5625-300;ihp@ihp-microelectronics.com;https://www.ihp-microelectronics.com
IJAB - Fachstelle für Internationale Jugendarbeit der Bundesrepublik Deutschland e. V.;Godesberger Allee 142 - 148;53175;Bonn;+49 228 9506-0;+49 228 9506-199;info@ijab.de;https://www.ijab.de
ILS - Institut für Landes- und Stadtentwicklungsforschung GmbH;Brüderweg 22 - 24;44135;Dortmund;+49 231 9051-0;+49 231 9051-155;poststelle@ils-forschung.de;
Industrie-Lehrwerkstatt Trier eG;Engelstraße 59 - 61;54292;Trier;+49 651 2222-0;;trier@ilw-trier.de;https://trier.ilw.de/
Infanterieschule Hammelburg;Rommelstraße 31;97762;Hammelburg;+49 9732-784-0;;InfS@Bundeswehr.org;https://www.bundeswehr.de/de/organisation/heer/organisation/ausbildungskommando/ausbildungszentrum-infanterie
Informationstechnikbataillon 281;Philipp-Reis-Straße 2;54568;Gerolstein;+49 6591 10-1;;kdocirpizcir@bundeswehr.org;https://cir.bundeswehr.de/portal/a/cir/start/dienststellen/kdoitbw/itbtl281/!ut/p/z1/hU67DoIwFP0WB9beKyigWxeNRpSEGKGLqVALplBSKvj5YpxMNJ7tPHOAQQqs4X0lua10w9XIM-af_cVss3YTjMJwNUW6p_HqcAxdjFw4_Quw0cYfoAhJISAbN4LfGwEkwIDdeM8fpNXGKmEJz18PISt5UygR65y-hS0wqfTlfZ02Fy-UwIy4CiMMuZtRLq1tu6WDDg7DQKTWUgmS69rBb5VSdxbSzyS0dTqgN1f9jk6epWxEYQ!!/dz/d5/L2dBISEvZ0FBIS9nQSEh/#Z7_694IG2S0M88F10ANAPFOU820M7
Informationstechnikbataillon 282;Graf-Moltke-Straße ;56288;Kastellaun;+49 6762 12-1;;kdocirpizcir@bundeswehr.org;https://cir.bundeswehr.de/portal/a/cir/start/dienststellen/kdoitbw/itbtl282/!ut/p/z1/hU67DoIwFP0WB9beK6CiWwcxGh8kxAhdTIFaNJWSWsHPF8NkIvFs55kDDBJgFW-ukturrrjqeMqm5-ncX6_cGHdBEI6R7mkUHo6Bi0sfTv8CrLNxABQhLgSk3cZseMODGBiwG2_4i9TaWCUs4fnnIaQlrwolIp3TXtgAk0pn_XVaZV4ggRlxEUYY8jSdXFpbPxYOOti2LZFaSyVIru8O_qqU-mEh-U5CfU9a9Caq2dLRG_f8jTI!/dz/d5/L2dBISEvZ0FBIS9nQSEh/#Z7_694IG2S0M88F10ANAPFOU820E3
Informationstechnikbataillon 292;Rudolf-Diesel-Straße 1a;89407;Dillingen an der Donau;+49 9071 580-0;;kdocirpizcir@bundeswehr.org;https://cir.bundeswehr.de/portal/a/cir/start/dienststellen/kdoitbw/itbtl292/!ut/p/z1/hU67DoIwFP0WB9beKwqiWxeMxldCiNDFVKgFUyipFfx8MUwmEs92njnAIAFW87aU3Ja65qrnKfMv_nK-WbsR7oMgnCI90FN4jAMXY4TzvwDrbRwBRYhyAWm_sRjf8CACBuzOW_4ijTZWCUt49nkIacHrXImTzuggbIFJpa_DdVpfZ4EEZsRNGGHI0_RyYW3zWDnoYNd1RGotlSCZrhz8VSn0w0LynYSmSjqceard0ckbvF4Bww!!/dz/d5/L2dBISEvZ0FBIS9nQSEh/#Z7_694IG2S0M88F10ANAPFOU820U5
Informationstechnikbataillon 293;Weilheimer Straße 60;82418;Murnau am Staffelsee;+49 8841 609-0;;kdocirpizcir@bundeswehr.org;https://cir.bundeswehr.de/portal/a/cir/start/dienststellen/kdoitbw/itbtl293/!ut/p/z1/hU67DoIwFP0WB9beiyiiWxeNxldCjNDFVKgFUyiplfr51jiZaDzbeeYAgwxYy_taclvrlivPcxaf4ulouRimuEmSeYh0S_fz3SEZ4mECx38B5m38AYqQlgJyvzH5uRGGkAIDduU9f5BOG6uEJbx4PYS84m2pxF4X9C2sgEmlz-_rtD1HiQRmxEUYYcjdeLmytrvNAgzQOUek1lIJUugmwG-VSt8sZJ9J6JrMYTRW_ZoOnkvQPUU!/dz/d5/L2dBISEvZ0FBIS9nQSEh/#Z7_694IG2S0M88F10ANAPFOU82011
Informationstechnikbataillon 381;Beeskower Chaussee 15a;15859;Storkow (Mark);+49 33678 66-0;;kdocirpizcir@bundeswehr.org;https://cir.bundeswehr.de/portal/a/cir/start/dienststellen/kdoitbw/itbtl381/!ut/p/z1/hU67DoIwFP0WB9beKyiiWxd8xFdCjNDFFKgFUyipFfx8MU4mEs92njnAIAZW87aU3Ja65qrnCfMv_nyyXroR7oIgHCPd02N4OAUujj04_wuw3sYBUIQoF5D0G7PBjZUPETBgN97yJ2m0sUpYwrP3Q0gKXudKHHVGP8IGmFQ6_VyndeoFEpgRV2GEIQ_Ty4W1zX3hoINd1xGptVSCZLpy8Fel0HcL8XcSmiru0JuqdktHL8sgRs4!/dz/d5/L2dBISEvZ0FBIS9nQSEh/#Z7_694IG2S0M88F10ANAPFOU820H6
Informationstechnikbataillon 383;Nissaer Weg 10;99099;Erfurt;+49 361 432-0;;kdocirpizcir@bundeswehr.org;https://cir.bundeswehr.de/portal/a/cir/start/dienststellen/kdoitbw/itbtl383/!ut/p/z1/hU67DoIwFP0WB9beKwpWty6-4ishRuhiKtaCKZTUSv18MU4mGs92njnAIQVei7ZUwpWmFrrjGY-P8Xi4mIUJrimd9pFt2G663dMQ5xEc_gV4Z-MPMITkLCHrNkY_N8YhJMCBX0UrHqQx1mnpiMhfDyErRH3Wcmdy9haWwJU2p_d1Vp8GVAG38iKttORuO7lwrrlNAgzQe0-UMUpLkpsqwG-VwtwcpJ9JaKrU4yDS7Yr1ni26zdA!/dz/d5/L2dBISEvZ0FBIS9nQSEh/#Z7_694IG2S0M88F10ANAPFOU82092
Informationstechnikzentrum Bund;Bernkasteler Straße 8;53175;Bonn;+49 22899 680-0;+49 22899 680-5050;poststelle@itzbund.de;https://www.itzbund.de/DE/Home/home_node.html
Institut für Auslandsbeziehungen e. V.;Charlottenplatz 17;70173;Stuttgart;+49 711 2225-0;+49 711 2264-346;info@ifa.de;https://www.ifa.de
Institut für deutsche Kultur und Geschichte Südosteuropas e. V.;Halskestraße 15;81379;München;+49 89 780609-0;+49 89 780609-22;ikgs@ikgs.de;https://www.ikgs.de
Institut für Kultur und Geschichte der Deutschen in Nordosteuropa e. V.;Lindenstraße 31;21335;Lüneburg;+49 4131 40059-0;+49 4131 40059-59;sekretariat@ikgn.de;https://www.ikgn.de/cms/
Institut für Mikrobiologie der Bundeswehr;Neuherbergstraße 11;80937;München;+49 89 992692-3980;+49 89 992692-3983;InstitutfuerMikrobiologie@bundeswehr.org;https://instmikrobiobw.de/
Institut für Ostrecht e. V.;Landshuter Straße 4;93047;Regensburg;+49 941 943-5450;+49 941 943-5465;info@ostrecht.de;https://www.ostrecht.de/
Institut für Pharmakologie und Toxikologie der Bundeswehr;Neuherbergstraße 11;80937;München;+49 89 992692-2926 oder 2932;;InstitutfuerPharmakologieundToxikologie@bundeswehr.org;
Institut für Präventivmedizin der Bundeswehr -Krahnenberg-Kaserne-;Aktienstraße 87;56626;Andernach;+49 2632 9462 2001;+49 4407-2076;InstPraevMedBw@bundeswehr.org;https://www.instpraevmedbw.de/
Institut für Radiobiologie der Bundeswehr;Neuherbergstraße 11;80937;München;+49 89 99 26 92 2251 oder 2253;+49 89 99 26 92 2255;Institutfuerradiobiologie@bundeswehr.org;
Institut für Sonnenphysik;Georges-Köhler-Allee 401 A;79110;Freiburg;+49 761 3198-0;+49 761 3198-111;secr@leibniz-kis.de;https://www.leibniz-kis.de/de/home/
Institut für Städtebau Berlin;Bismarckstraße 107 5-7;10625;Berlin;+49 30 230822-0;+49 30 230822-22;info@staedtebau-berlin.de;https://www.isw-isb.de/
Institut für Städtebau und Wohnungswesen München;Schwanthalerstraße 22;80336;München;+49 89 542706-0;+49 89 542706-23;office@isw.de;https://www.isw-isb.de
Institut für Zeitgeschichte München - Berlin;Leonrodstraße 46 b;80636;München;+49 89 12688-0;+49 89 12688-191;ifz@ifz-muenchen.de;https://www.ifz-muenchen.de
International Tracing Service;Große Allee 5 - 9;34454;Bad Arolsen;+49 5691 629-0;+49 5691 629-501;email@its-arolsen.org;https://www.arolsen-archives.org
Internationale Organisation für Migration;Charlottenstraße 68;10117;Berlin;+49 30 278778-0;+49 30 278778-99;iom-germany@iom.int;https://germany.iom.int/
Internationaler Bund e.V.;Valentin-Senger-Straße 5;60389;Frankfurt a. M.;+49 69 94545-0;;Info@ib.de;https://www.internationaler-bund.de/mainnavigation/startseite/
Internationales Hubschrauberausbildungszentrum;Achumer Straße 1;31675;Bückeburg;+49 5722-968-2100;+49 5722-968-2019;IntHubschrAusbZStab@Bundeswehr.org;https://www.deutschesheer.de/portal/poc/heer?uri=ci%3Abw.heer.dienstst.ausbkdo.ausbeinrichtungen.inthubschrausbz
IUF - Leibniz-Institut für umweltmedizinische Forschung an der Heinrich-Heine-Universität Düsseldorf gGmbH;Aufm Hennekamp 50;40225;Düsseldorf;+49 211 3389-0;+49 211 31909-10;info@iuf-duesseldorf.de;https://www.iuf-duesseldorf.de
Johann Heinrich von Thünen-Institut, Bundesforschungsinstitut für Ländliche Räume, Wald und Fischerei;Bundesallee 50;38116;Braunschweig;+49 531 596-0;+49 531 596-1099;info@thuenen.de;https://www.thuenen.de
Julius-Kühn Institut, Bundesforschungsinstitut für Kulturpflanzen;Erwin-Baur-Straße 27;06484;Quedlinburg;+49 3946 47-0;;poststelle@julius-kuehn.de;https://www.julius-kuehn.de
juris GmbH - Das juristische Informationssystem Deutschland;Am Römerkastell 11;66121;Saarbrücken;+49 681 5866-0;+49 681 5866-239;info@juris.de;https://www.juris.de
Karlsruher Institut für Technologie;Kaiserstraße 12;76131;Karlsruhe;+49 721 608 - 0;+49 721 608 44290;info@kit.edu;https://www.kit.edu
Karrierecenter der Bundeswehr Berlin;Regattastraße 12;12527;Berlin;+49 30 67781 401 oder 408;;karrcbwberlineingang@bundeswehr.org;https://www.bundeswehrkarriere.de/
Karrierecenter der Bundeswehr Düsseldorf;Ludwig-Beck-Straße 23;40470;Düsseldorf;+49 211 619-3400;+49 211 619-3395;BewerbungenDuesseldorf@bundeswehr.org;https://www.bundeswehrkarriere.de/
Karrierecenter der Bundeswehr Erfurt;Zeppelinstraße 18;99096;Erfurt;;;karrcbwerfurteingang@bundeswehr.org;https://www.bundeswehr.de/
Karrierecenter der Bundeswehr Hannover;Ada-Lessing-Str. 119;30657;Hannover;+49 511 86699-4444;+49 511 86699-4372;bewerbungenhannover@bundeswehr.org;https://www.bundeswehrkarriere.de/
Karrierecenter der Bundeswehr Mainz;Generaloberst-Beck-Straße 1f;55129;Mainz;+49 6131 27750 3999;;BewerbungenMainz@bundeswehr.org;https://www.bundeswehrkarriere.de/
Karrierecenter der Bundeswehr München;Dachauer Straße 128;80637;München;+49 89 1249-5181;;Bewerbungsservicemuenchen@bundeswehr.org;https://www.bundeswehr.de/de/organisation/personal/bundesamt-fuer-das-personalmanagement-der-bundeswehr-/karrierecenter-der-bundeswehr-/-willkommen-im-karrierecenter-der-bundeswehr-muenchen-
Karrierecenter der Bundeswehr Stuttgart;Heilbronner Straße 188;70191;Stuttgart;+49 711 2540-3900;;BewerbungenStuttgart@bundeswehr.org;https://www.bundeswehrkarriere.de/
Karrierecenter der Bundeswehr Wilhelmshaven;Opdenhoffstr. 63;26384;Wilhelmshaven;+49 4421 68-62821;+49 4421 6862-836;BewerbungenWilhelmshaven@bundeswehr.org;https://www.bundeswehrkarriere.de/
Kassenärztliche Bundesvereinigung;Herbert-Lewin-Platz 2;10623;Berlin;+49 30 4005-0;+49 30 4005-1590;info@KBV.de;https://www.kbv.de/
Kassenzahnärztliche Bundesvereinigung;Behrenstraße 42;10117;Berlin;+49 30 280179-0;+49 30 280179-20;post@kzbv.de;https://www.kzbv.de/
Katholisches Militärbischofsamt;Am Weidendamm 2;10117;Berlin;+49 30 20617-322;;kmba@bundeswehr.org;https://www.katholische-militaerseelsorge.de/organisation/katholisches-militaerbischofsamt
Katholisches Militärdekanat Berlin;Kurt-Schumacher-Damm 41;13405;Berlin;+49 30 4981-3590;;KathMilDekanatBerlin@bundeswehr.org;https://www.bundeswehr.de/de/organisation/militaerseelsorge/katholische-militaerseelsorge
Katholisches Militärdekanat Kiel;Parkstraße 2;24106;Kiel;+49 431 667248-6970;+49 431 667248-6974;KathMilDekanatKiel@bundeswehr.org;https://www.bundeswehr.de/de/betreuung-fuersorge/militaerseelsorge/katholische-militaerseelsorge/organisation/militaerdekanate/kiel-58360
Katholisches Militärdekanat Köln;Flughafenstraße 1;51147;Köln;+49 2203 908-3500;;KathMilDekanatKoeln@bundeswehr.org;https://www.bundeswehr.de/de/betreuung-fuersorge/militaerseelsorge/katholische-militaerseelsorge/organisation/militaerdekanate/koeln/koeln-58378
Katholisches Militärdekanat München;Ingolstädter Straße 240;80939;München;+49 89 3168 - 6050;+49 89 3168 - 6054;KathMilDekanatMuenchen@bundeswehr.org;https://www.bundeswehr.de/de/betreuung-fuersorge/militaerseelsorge/katholische-militaerseelsorge/organisation/militaerdekanate/muenchen
Kiel Institut für Weltwirtschaft;Kiellinie 66;24105;Kiel;+49 431 8814-1;+49 431 8814-500;info@ifw-kiel.de;https://www.ifw-kiel.de
